id,name_x,yearpublished,rank_x,category
388459,Apropos: Of Board Games,2023,18453,"[1002, 1030, 1120, 1027]"
399759,Exoplanet,2023,18512,[1113]
391742,Monopoly Chance,2023,18635,[1021]
395256,Flamme Rouge BMX,2023,18878,"[1041, 1031]"
393525,Doctor Rat,2023,18920,"[1089, 1039, 2145]"
403639,Floats McGoats,2023,19029,"[1009, 1032, 1089]"
395493,Zombie Chickens,2023,19081,"[1089, 1002, 1046, 1079, 2481]"
392397,Road To Lord,2023,19094,"[1002, 1035]"
394751,3 Minute Crazy Café,2023,19276,[1037]
402261,Graffiti,2023,19281,
392154,Clue Escape: The Midnight Hotel,2023,19292,"[1039, 1040]"
389043,Picky Pixie,2023,19331,"[1002, 1010, 1120]"
392491,Taco Kitten Pizza,2023,19365,"[1002, 1041, 1030]"
408658,Booty Dice,2023,19385,"[1017, 1090]"
404268,Elin River Cruise,2023,19601,"[1011, 1097]"
395647,Iluliaq,2023,19655,"[1032, 1089, 1041]"
398769,Volles Fass voraus,2023,19678,"[1022, 1008, 1090]"
400093,The Cursed Menagerie,2023,19804,"[1002. 1017, 1120]"
1778,Dark World: Dragon's Gate,1993,19964,"[1022, 1020, 1010, 1047]"
405437,Last Penguin,2023,19970,"[1032, 1023, 1002, 1030]"
393974,Void Halls,2023,20001,"[1030, 1120]"
400567,Energy Apex,2023,20089,"[1002, 1021, 1026]"
400239,Sssnake: Flip&Write,2023,20140,[1041]
402527,Luminis,2023,20290,"[1002, 1070]"
397613,Search Party: Chaos at the Park,2023,20295,"[1041, 1039, 1040]"
406761,10 Tricks Later,2023,20509,[2481]
401110,Dying Message,2023,20553,"[1023, 1039, 1030]"
398770,Maldivia,2023,20978,[1008]
401976,森活日記 Woodtopia,2023,21104,"[1089, 1041, 1094, 1104]"
392097,800 Pound Gorilla,2023,21392,"[1089, 1037]"
392836,The Lunar Dial,2023,21428,"[1009, 1002]"
396650,Llamas & Alpacas,2023,21673,"[1089, 1013]"
396537,What Do You Meme? Bigger Better Edition,2022,21799,"[1118, 1030]"
392809,Happy Fox,2023,21830,"[1089, 1023, 1039]"
398967,Selfish: Shipwrecked Edition,2023,21834,"[1002, 1008]"
394163,Pan T'es Mort,2023,21976,[1002]
392173,Dumb Ways to Die,2023,22108,"[1002, 1079, 1101]"
392150,Unfold: Through the Wall,2023,22601,"[1039, 1028]"
400790,Dubious: New Realms,2023,22727,"[1050, 1002, 1039, 1024, 1030, 1016]"
62395,Pokémon TCG: Rumble,2009,22822,"[1002, 1041, 1044, 1017, 1010, 1064, 1101]"
396426,Purrfect Match,2023,23252,"[1089, 1002]"
402150,Head Trip,2023,23382,"[1079, 1030]"
389734,XXung,2016,24135,[1009]
394783,UNO Quatro,2023,24409,"[1009, 1041]"
411934,Battle Spirits Saga,2023,24665,"[1002, 1021]"
72630,Smart Ass: The Card Game,2009,24912,"[1002, 1079, 1030, 1027]"
399757,Linx,2023,25414,[1009]
400859,The way to Juliet,1910,25856,"[1089, 1002, 1059]"
404427,Mensch ärgere Dich nicht,1910,26656,[1009]
395847,Space Marine: The Board Game,2023,26871,"[1046, 1101]"
